"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","31/08/2017","30/06/2018","Lucas Pérez","28","Dep. La Coruña","Spain",35,"7,50 Mill. €  "," ","Chelsea"
"2","21/08/2017","31/05/2018","Carl Jenkinson","25","Birmingham","England",7,"3,50 Mill. €  "," ","Chelsea"
"3","31/08/2017","30/06/2018","Joel Campbell","25","Real Betis","Spain",8,"3,00 Mill. €  "," ","Chelsea"
"4","26/08/2016","30/06/2018","Takuma Asano","21","VfB Stuttgart","Germany",15,"2,00 Mill. €  "," ","Chelsea"
"5","31/01/2018","31/05/2018","Krystian Bielik","20","Walsall","England",0,"2,00 Mill. €  "," ","Chelsea"
"6","31/01/2018","30/06/2018","Chuba Akpom","22","Sint-Truiden","Belgium",6,"1,20 Mill. €  "," ","Chelsea"
"7","02/08/2017","30/06/2018","Emiliano Martínez","24","Getafe","Spain",4,"1,00 Mill. €  "," ","Chelsea"
"8","31/01/2018","30/06/2018","Jeff Reine-Adélaïde","20","SCO Angers","France",10,"3,00 Mill. €  "," ","Arsenal"
"9","31/08/2017","23/01/2018","Kelechi Nwakali","19","VVV-Venlo","Netherlands",9,"300 Th. €  "," ","Arsenal"
"10","24/01/2018","30/06/2018","Kelechi Nwakali","19","MVV Maastricht","Netherlands",16,"300 Th. €  "," ","Arsenal"
"11","31/01/2018","30/06/2018","Julio Pleguezuelo","21","Gimnàstic","Spain",10,"300 Th. €  "," ","Arsenal"
"12","04/08/2017","02/01/2018","Stephy Mavididi","19","Preston NE","England",10,"250 Th. €  "," ","Arsenal"
"13","21/08/2017","31/05/2018","Cohen Bramall","21","Birmingham","England",5,"250 Th. €  "," ","Arsenal"
"14","03/01/2018","31/05/2018","Stephy Mavididi","19","Charlton","England",12,"250 Th. €  "," ","Arsenal"
"15","12/01/2018","31/05/2018","Tafari Moore","20","Wycombe","England",13,"200 Th. €  "," ","Arsenal"
"16","14/07/2017","31/05/2018","Marc Bola","19","Bristol Rovers","England",18,"100 Th. €  "," ","Arsenal"
"17","26/01/2018","31/05/2018","Ben Sheaf","19","Stevenage FC","England",10,"-  "," ","Arsenal"
