"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","30/08/2018","31/05/2019","Isaiah Brown","21","Leeds","England",0,"5,00 Mill. €  "," ","Chelsea"
"2","17/07/2018","31/05/2019","Mason Mount","19","Derby","England",26,"4,00 Mill. €  "," ","Chelsea"
"3","06/08/2018","31/05/2019","Fikayo Tomori","20","Derby","England",31,"2,50 Mill. €  "," ","Chelsea"
"4","02/07/2018","30/06/2019","Jake Clarke-Salter","20","Vitesse","Netherlands",20,"2,00 Mill. €  "," ","Chelsea"
"5","30/07/2018","08/01/2019","Kasey Palmer","21","Blackburn","England",14,"1,50 Mill. €  "," ","Chelsea"
"6","09/01/2019","31/05/2019","Kasey Palmer","22","Bristol City","England",5,"1,50 Mill. €  "," ","Chelsea"
"7","27/07/2018","31/05/2019","Victorien Angban","21","FC Metz","France",18,"1,25 Mill. €  "," ","Chelsea"
"8","01/07/2018","31/05/2019","Trevoh Chalobah","18","Ipswich","England",33,"1,00 Mill. €  "," ","Chelsea"
"9","31/08/2018","30/06/2019","Kylian Hazard","23","Cercle Brugge","Belgium",16,"700 Th. €  "," ","Chelsea"
"10","12/07/2018","31/01/2019","Joao Rodríguez","22","CD Tenerife","Spain",13,"500 Th. €  "," ","Chelsea"
"11","09/08/2018","31/05/2019","Jay Dasilva","20","Bristol City","England",16,"500 Th. €  "," ","Chelsea"
"12","21/07/2018","31/12/2018","Charlie Colkett","21","Shrewsbury","England",1,"400 Th. €  "," ","Chelsea"
"13","31/08/2018","30/06/2019","Fankaty Dabo","22","Sparta R.","Netherlands",11,"350 Th. €  "," ","Chelsea"
"14","01/07/2018","31/05/2019","Reece James","18","Wigan","England",33,"250 Th. €  "," ","Chelsea"
"15","30/08/2018","06/01/2019","Ike Ugbo","19","Scunthorpe Utd.","England",15,"250 Th. €  "," ","Chelsea"
"16","10/08/2018","30/06/2019","Josimar Quintero","21","Lleida Esportiu","Spain",11,"100 Th. €  "," ","Chelsea"
"17","01/07/2018","03/01/2019","Ruben Sammut","20","Falkirk FC","Scotland",12,"50 Th. €  "," ","Chelsea"
"18","14/07/2018","31/12/2018","Kyle Scott","20","Telstar","Netherlands",14,"50 Th. €  "," ","Chelsea"
"19","01/07/2018","31/05/2019","Nathan Baxter","19","Yeovil Town","England",22,"-  "," ","Chelsea"
"20","01/07/2018","31/05/2019","Dujon Sterling","18","Coventry","England",26,"-  "," ","Chelsea"
"21","26/07/2018","31/05/2019","Jacob Maddox","19","Cheltenham Town","England",28,"-  "," ","Chelsea"
"22","31/08/2018","31/05/2019","Bradley Collins","21","Burton Albion","England",21,"-  "," ","Chelsea"
"23","01/01/2019","31/05/2019","Jared Thompson","19","Warrenpoint","Northern Ireland",3,"-  "," ","Chelsea"
"24","11/01/2019","31/05/2019","Josh Grant","20","Yeovil Town","England",3,"-  "," ","Chelsea"
