"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","28/08/2003","06/01/2005","Mikael Forssell","22","Birmingham","England",32,"9,00 Mill. €  "," ","Chelsea"
"2","01/07/2003","30/06/2006","Boy-Boy Mosia","18","KVC Westerlo","Belgium",6,"250 Th. €  "," ","Chelsea"
"3","01/08/2003","01/05/2004","Aleksey Smertin","28","Portsmouth","England",26,"-  "," ","Chelsea"
"4","01/07/2003","30/06/2004","Boudewijn Zenden","26","Middlesbrough","England",31,"-  "," ","Chelsea"
"5","01/07/2003","30/06/2004","Andy Ross","20","Partick Thistle","Scotland",0,"-  "," ","Chelsea"
"6","01/09/2003","01/05/2004","Joel Kitamirike","19","Brentford","England",22,"-  "," ","Chelsea"
"7","01/01/2004","30/06/2004","Joe Keenan","21","KVC Westerlo","Belgium",10,"-  "," ","Chelsea"
"8","01/01/2004","30/06/2004","Sebastian Kneißl","20","Dundee FC","Scotland",0,"-  "," ","Chelsea"
"9","20/08/2003","20/05/2004","Carlton Cole","19","Charlton","England",21,"-  "," ","Chelsea"
"10","13/02/2004","21/03/2004","Craig Rocastle","22","Barnsley FC","England",5,"-  "," ","Chelsea"
"11","25/03/2004","20/05/2004","Craig Rocastle","22","Lincoln City","England",0,"-  "," ","Chelsea"
"12","01/09/2003","01/05/2004","Lenny Pidgeley","19","Watford","England",27,"-  "," ","Chelsea"
"13","01/09/2004","30/06/2005","Hernán Crespo","29","AC Milan","Italy",28,"15,00 Mill. €  "," ","Chelsea"
"14","02/07/2004","30/06/2007","Alex","22","PSV Eindhoven","Netherlands",27,"10,00 Mill. €  "," ","Chelsea"
"15","28/08/2003","06/01/2005","Mikael Forssell","22","Birmingham","England",4,"9,00 Mill. €  "," ","Chelsea"
"16","01/07/2004","30/06/2006","Juan Sebastián Verón","29","Inter","Italy",24,"4,00 Mill. €  "," ","Chelsea"
"17","11/07/2004","16/05/2005","Carlton Cole","20","Aston Villa","England",27,"3,50 Mill. €  "," ","Chelsea"
"18","01/08/2004","31/12/2006","Alcides","19","Benfica","Portugal",7,"3,00 Mill. €  "," ","Chelsea"
"19","01/08/2004","31/12/2004","Sebastian Kneißl","21","KVC Westerlo","Belgium",10,"450 Th. €  "," ","Chelsea"
"20","01/07/2004","31/12/2004","Filipe Oliveira","20","Preston NE","England",5,"450 Th. €  "," ","Chelsea"
"21","01/07/2004","30/06/2005","Valerio Di Cesare","21","UC AlbinoLeffe","Italy",16,"100 Th. €  "," ","Chelsea"
"22","31/08/2004","04/01/2005","Craig Rocastle","23","Hibernian FC","Scotland",0,"100 Th. €  "," ","Chelsea"
"23","19/01/2006","08/05/2006","Wayne Bridge","25","Fulham","England",12,"7,75 Mill. €  "," ","Chelsea"
"24","01/07/2005","01/02/2006","Aleksey Smertin","30","Charlton","England",18,"6,50 Mill. €  "," ","Chelsea"
"25","01/08/2005","01/05/2006","Jiri Jarosik","27","Birmingham","England",24,"6,50 Mill. €  "," ","Chelsea"
"26","01/07/2004","30/06/2006","Juan Sebastián Verón","29","Inter","Italy",25,"4,00 Mill. €  "," ","Chelsea"
"27","02/01/2006","30/06/2007","Slobodan Rajkovic","16","OFK Beograd","Serbia",2,"1,30 Mill. €  "," ","Chelsea"
"28","01/07/2005","01/06/2006","Nuno Morais","21","Marítimo","Portugal",17,"1,00 Mill. €  "," ","Chelsea"
"29","01/08/2005","01/09/2005","Joe Keenan","22","Brentford","England",4,"600 Th. €  "," ","Chelsea"
"30","01/01/2006","30/06/2006","Joe Keenan","23","Willem II","Netherlands",13,"600 Th. €  "," ","Chelsea"
"31","01/07/2003","30/06/2006","Boy-Boy Mosia","18","KVC Westerlo","Belgium",9,"250 Th. €  "," ","Chelsea"
"32","01/11/2005","01/12/2005","Lenny Pidgeley","21","Millwall","England",0,"100 Th. €  "," ","Chelsea"
"33","01/10/2005","01/11/2005","Steven Watt","20","Barnsley FC","England",3,"50 Th. €  "," ","Chelsea"
"34","07/08/2006","30/06/2008","Hernán Crespo","31","Inter","Italy",29,"11,00 Mill. €  "," ","Chelsea"
"35","02/07/2004","30/06/2007","Alex","22","PSV Eindhoven","Netherlands",29,"10,00 Mill. €  "," ","Chelsea"
"36","01/08/2006","01/05/2007","Glen Johnson","21","Portsmouth","England",26,"4,00 Mill. €  "," ","Chelsea"
"37","01/01/2007","30/06/2008","Alcides","21","PSV Eindhoven","Netherlands",9,"3,00 Mill. €  "," ","Chelsea"
"38","01/08/2004","31/12/2006","Alcides","19","Benfica","Portugal",2,"3,00 Mill. €  "," ","Chelsea"
"39","02/01/2006","30/06/2007","Slobodan Rajkovic","16","OFK Beograd","Serbia",0,"1,30 Mill. €  "," ","Chelsea"
"40","27/09/2006","07/05/2007","Jimmy Smith","19","QPR","England",29,"400 Th. €  "," ","Chelsea"
"41","01/10/2006","01/05/2008","Michael Mancienne","18","QPR","England",28,"350 Th. €  "," ","Chelsea"
"42","03/11/2006","19/02/2007","Ryan Bertrand","17","Bournemouth","England",5,"100 Th. €  "," ","Chelsea"
"43","10/03/2007","10/04/2007","Adrian Pettigrew","20","Wycombe","England",1,"50 Th. €  "," ","Chelsea"
"44","01/01/2007","01/05/2007","James Russell","19","Walton & Hersham FC","England",0,"-  "," ","Chelsea"
"45","01/11/2006","01/03/2007","Jack Cork","17","Bournemouth","England",7,"-  "," ","Chelsea"
"46","07/08/2006","30/06/2008","Hernán Crespo","31","Inter","Italy",19,"11,00 Mill. €  "," ","Chelsea"
"47","12/07/2007","30/06/2008","Khalid Boulahrouz","25","Sevilla FC","Spain",6,"5,00 Mill. €  "," ","Chelsea"
"48","01/01/2007","30/06/2008","Alcides","21","PSV Eindhoven","Netherlands",21,"3,00 Mill. €  "," ","Chelsea"
"49","02/08/2007","30/06/2008","Slobodan Rajkovic","18","PSV Eindhoven","Netherlands",13,"1,30 Mill. €  "," ","Chelsea"
"50","28/02/2008","26/03/2008","Scott Sinclair","18","Charlton","England",3,"800 Th. €  "," ","Chelsea"
"51","27/03/2008","14/05/2008","Scott Sinclair","19","Crystal Palace","England",6,"800 Th. €  "," ","Chelsea"
"52","04/01/2008","25/05/2009","Ryan Bertrand","18","Norwich","England",18,"750 Th. €  "," ","Chelsea"
"53","19/07/2007","31/12/2007","Jimmy Smith","20","Norwich","England",9,"500 Th. €  "," ","Chelsea"
"54","01/08/2007","31/12/2007","Ben Sahar","17","QPR","England",9,"500 Th. €  "," ","Chelsea"
"55","01/08/2007","01/05/2008","Jack Cork","18","Scunthorpe Utd.","England",34,"400 Th. €  "," ","Chelsea"
"56","01/02/2008","01/04/2008","Ben Sahar","18","Sheff Wed","England",12,"400 Th. €  "," ","Chelsea"
"57","01/10/2006","01/05/2008","Michael Mancienne","18","QPR","England",30,"350 Th. €  "," ","Chelsea"
"58","06/11/2007","16/12/2007","Scott Sinclair","18","QPR","England",9,"300 Th. €  "," ","Chelsea"
"59","21/08/2007","31/12/2007","Ryan Bertrand","18","Oldham Athletic","England",21,"100 Th. €  "," ","Chelsea"
"60","10/08/2007","11/11/2007","Adrian Pettigrew","20","Brentford","England",11,"50 Th. €  "," ","Chelsea"
"61","08/02/2008","30/03/2008","Adrian Pettigrew","21","Rotherham","England",4,"50 Th. €  "," ","Chelsea"
"62","15/08/2008","30/06/2009","Claudio Pizarro","29","Werder Bremen","Germany",26,"12,00 Mill. €  "," ","Chelsea"
"63","23/08/2008","30/06/2009","Andriy Shevchenko","31","AC Milan","Italy",18,"10,00 Mill. €  "," ","Chelsea"
"64","09/07/2008","30/06/2010","Slobodan Rajkovic","19","FC Twente","Netherlands",13,"2,50 Mill. €  "," ","Chelsea"
"65","06/01/2009","25/05/2009","Scott Sinclair","19","Birmingham","England",14,"1,00 Mill. €  "," ","Chelsea"
"66","04/01/2008","25/05/2009","Ryan Bertrand","18","Norwich","England",38,"750 Th. €  "," ","Chelsea"
"67","01/01/2009","01/05/2009","Jack Cork","19","Watford","England",19,"750 Th. €  "," ","Chelsea"
"68","01/01/2009","30/06/2009","Ben Sahar","19","De Graafschap","Netherlands",16,"750 Th. €  "," ","Chelsea"
"69","02/02/2009","30/06/2009","Jimmy Smith","22","Leyton Orient","England",16,"750 Th. €  "," ","Chelsea"
"70","01/07/2008","01/12/2008","Ben Sahar","18","Portsmouth","England",0,"600 Th. €  "," ","Chelsea"
"71","01/08/2008","01/12/2008","Jack Cork","19","Southampton","England",23,"600 Th. €  "," ","Chelsea"
"72","27/10/2008","29/12/2008","Michael Mancienne","20","Wolves","England",10,"600 Th. €  "," ","Chelsea"
"73","01/07/2008","31/12/2008","Jimmy Smith","21","Sheff Wed","England",12,"500 Th. €  "," ","Chelsea"
"74","01/08/2008","01/11/2008","Lee Sawyer","18","Southend United","England",12,"-  "," ","Chelsea"
"75","01/01/2009","01/02/2009","Lee Sawyer","19","Coventry","England",2,"-  "," ","Chelsea"
"76","30/01/2009","02/03/2009","Carl Magnay","20","MK Dons","England",1,"-  "," ","Chelsea"
"77","01/03/2009","01/05/2009","Lee Sawyer","19","Wycombe","England",9,"-  "," ","Chelsea"
"78","09/03/2009","09/04/2009","Carl Magnay","20","Northampt. Town","England",2,"-  "," ","Chelsea"
"79","16/07/2009","30/06/2010","Miroslav Stoch","19","FC Twente","Netherlands",32,"4,50 Mill. €  "," ","Chelsea"
"80","09/07/2008","30/06/2010","Slobodan Rajkovic","19","FC Twente","Netherlands",10,"2,50 Mill. €  "," ","Chelsea"
"81","04/08/2009","31/05/2010","Franco Di Santo","20","Blackburn","England",22,"2,50 Mill. €  "," ","Chelsea"
"82","13/08/2009","31/05/2010","Michael Mancienne","21","Wolves","England",30,"2,00 Mill. €  "," ","Chelsea"
"83","06/08/2009","31/05/2010","Scott Sinclair","20","Wigan","England",18,"1,50 Mill. €  "," ","Chelsea"
"84","17/07/2009","01/06/2010","Ryan Bertrand","19","Reading","England",44,"750 Th. €  "," ","Chelsea"
"85","01/08/2009","31/12/2009","Jack Cork","20","Coventry","England",21,"750 Th. €  "," ","Chelsea"
"86","01/02/2010","01/05/2010","Jack Cork","20","Burnley","England",11,"750 Th. €  "," ","Chelsea"
"87","01/11/2009","04/01/2010","Rhys Taylor","19","QPR","England",0,"200 Th. €  "," ","Chelsea"
"88","29/01/2010","28/02/2010","Patrick van Aanholt","19","Newcastle","England",7,"50 Th. €  "," ","Chelsea"
"89","01/08/2009","01/11/2009","Lee Sawyer","19","Southend United","England",6,"-  "," ","Chelsea"
"90","07/08/2009","31/12/2009","Patrick van Aanholt","18","Coventry","England",20,"-  "," ","Chelsea"
"91","14/08/2009","02/01/2010","Jacob Mellis","18","Southampton","England",12,"-  "," ","Chelsea"
"92","31/01/2011","31/05/2011","Daniel Sturridge","21","Bolton","England",12,"5,00 Mill. €  "," ","Chelsea"
"93","26/08/2010","31/05/2011","Michael Mancienne","22","Wolves","England",16,"3,50 Mill. €  "," ","Chelsea"
"94","23/08/2010","30/06/2011","Nemanja Matic","22","Vitesse","Netherlands",27,"3,00 Mill. €  "," ","Chelsea"
"95","25/01/2011","31/05/2011","Gaël Kakuta","19","Fulham","England",7,"3,00 Mill. €  "," ","Chelsea"
"96","23/08/2010","30/06/2011","Slobodan Rajkovic","21","Vitesse","Netherlands",24,"2,50 Mill. €  "," ","Chelsea"
"97","11/02/2011","31/05/2011","Jeffrey Bruma","19","Leicester","England",11,"2,00 Mill. €  "," ","Chelsea"
"98","05/08/2010","31/12/2010","Ryan Bertrand","21","Nottm Forest","England",19,"1,00 Mill. €  "," ","Chelsea"
"99","01/08/2010","01/05/2011","Jack Cork","21","Burnley","England",40,"1,00 Mill. €  "," ","Chelsea"
"100","01/08/2010","30/06/2011","Matej Delac","17","Vitesse","Netherlands",0,"1,00 Mill. €  "," ","Chelsea"
"101","26/01/2011","31/05/2011","Patrick van Aanholt","20","Leicester","England",12,"1,00 Mill. €  "," ","Chelsea"
"102","04/07/2010","31/05/2011","Rhys Taylor","20","Crewe Alexandra","England",44,"200 Th. €  "," ","Chelsea"
"103","08/07/2010","31/12/2010","Tomas Kalas","17","Sigma Olomouc","Czech Republic",4,"100 Th. €  "," ","Chelsea"
"104","18/03/2011","31/05/2011","Fabio Borini","19","Swansea","England",9,"100 Th. €  "," ","Chelsea"
"105","22/10/2010","01/12/2010","Conor Clifford","19","Plymouth","England",7,"-  "," ","Chelsea"
"106","01/11/2010","01/12/2010","Michael Woods","20","Notts County","England",0,"-  "," ","Chelsea"
