"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/07/2006","30/06/2007","José Antonio Reyes","22","Real Madrid","Spain",30,"16,70 Mill. €  "," ","Arsenal"
"2","01/07/2006","30/06/2007","Carlos Vela","17","UD Salamanca","Spain",1,"3,00 Mill. €  "," ","Arsenal"
"3","30/01/2007","14/05/2007","Alex Song","19","Charlton","England",12,"2,90 Mill. €  "," ","Arsenal"
"4","01/07/2006","01/05/2007","Arturo Lupoli","19","Derby","England",35,"1,60 Mill. €  "," ","Arsenal"
"5","10/08/2006","23/10/2006","Vito Mannone","18","Barnsley FC","England",2,"500 Th. €  "," ","Arsenal"
"6","04/08/2006","30/01/2007","Sebastian Larsson","21","Birmingham","England",43,"400 Th. €  "," ","Arsenal"
"7","01/01/2007","01/05/2007","Joe O'Cearuill","19","Brighton","England",8,"250 Th. €  "," ","Arsenal"
"8","01/08/2006","01/05/2007","Fabrice Muamba","18","Birmingham","England",34,"250 Th. €  "," ","Arsenal"
"9","01/08/2006","01/05/2007","Kerrea Gilbert","19","Cardiff","England",24,"200 Th. €  "," ","Arsenal"
"10","23/11/2006","02/01/2007","Matthew Connolly","19","Bournemouth","England",5,"50 Th. €  "," ","Arsenal"
