"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","25/11/2010","31/12/2010","Aaron Ramsey","19","Nottm Forest","England",5,"6,00 Mill. €  "," ","Arsenal"
"2","31/01/2011","28/02/2011","Aaron Ramsey","20","Cardiff","England",6,"6,00 Mill. €  "," ","Arsenal"
"3","30/01/2011","30/06/2011","Carlos Vela","21","West Brom","England",8,"5,00 Mill. €  "," ","Arsenal"
"4","31/01/2011","30/06/2011","Ryo Miyaichi","18","Feyenoord","Netherlands",12,"2,00 Mill. €  "," ","Arsenal"
"5","23/07/2010","30/06/2011","Pedro Botelho","20","FC Cartagena","Spain",39,"1,50 Mill. €  "," ","Arsenal"
"6","01/08/2010","30/06/2011","Armand Traoré","20","Juventus","Italy",10,"1,50 Mill. €  "," ","Arsenal"
"7","18/10/2010","08/05/2011","Vito Mannone","22","Hull City","England",10,"1,00 Mill. €  "," ","Arsenal"
"8","31/08/2010","23/12/2010","Nacer Barazite","20","Vitesse","Netherlands",9,"750 Th. €  "," ","Arsenal"
"9","12/01/2011","31/12/2011","Wellington Silva","18","Levante","Spain",2,"700 Th. €  "," ","Arsenal"
"10","27/11/2010","31/05/2011","Henri Lansbury","20","Norwich","England",23,"600 Th. €  "," ","Arsenal"
"11","03/08/2010","31/05/2011","Sanchez Watt","19","Leeds","England",22,"500 Th. €  "," ","Arsenal"
"12","25/01/2011","31/05/2011","Craig Eastmond","20","Millwall","England",6,"500 Th. €  "," ","Arsenal"
"13","01/10/2010","30/06/2011","Gavin Hoyte","20","Lincoln City","England",12,"350 Th. €  "," ","Arsenal"
"14","18/01/2011","23/05/2011","Jay Emmanuel-Thomas","20","Cardiff","England",14,"300 Th. €  "," ","Arsenal"
"15","24/10/2010","10/05/2011","Mark Randall","21","Rotherham","England",10,"250 Th. €  "," ","Arsenal"
"16","03/11/2010","31/12/2010","Thomas Cruise","19","Carlisle United","England",3,"200 Th. €  "," ","Arsenal"
"17","21/07/2010","30/06/2011","Francis Coquelin","19","FC Lorient","France",24,"1,30 Mill. €  "," ","Arsenal"
"18","01/07/2010","30/06/2011","Samuel Galindo","18","UD Salamanca","Spain",7,"500 Th. €  "," ","Arsenal"
"19","10/08/2010","01/01/2011","Kyle Bartley","19","Sheffield Utd.","England",21,"500 Th. €  "," ","Arsenal"
"20","02/11/2010","31/05/2011","Benik Afobe","17","Huddersfield","England",28,"500 Th. €  "," ","Arsenal"
"21","31/01/2011","30/06/2011","Gilles Sunu","19","FC Lorient","France",9,"500 Th. €  "," ","Arsenal"
"22","31/01/2011","30/06/2012","Kyle Bartley","19","Rangers","Scotland",5,"500 Th. €  "," ","Arsenal"
"23","02/07/2010","31/12/2010","Luke Freeman","18","Yeovil Town","England",13,"250 Th. €  "," ","Arsenal"
"24","21/02/2011","31/05/2011","James Shea","19","Southampton","England",0,"50 Th. €  "," ","Arsenal"
