"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","31/01/2011","30/06/2012","Kyle Bartley","19","Rangers","Scotland",19,"500 Th. €  "," ","Arsenal"
"2","04/08/2011","30/06/2012","Samuel Galindo","19","Gimnàstic","Spain",12,"300 Th. €  "," ","Arsenal"
"3","01/01/2012","01/05/2012","Sead Hajrovic","18","Barnet","England",10,"100 Th. €  "," ","Arsenal"
"4","26/07/2011","05/12/2011","James Shea","20","Dag & Red FC","England",1,"50 Th. €  "," ","Arsenal"
"5","22/11/2011","05/03/2012","Chuks Aneke","18","Stevenage FC","England",6,"-  "," ","Arsenal"
"6","20/01/2012","22/02/2012","Daniel Boateng","19","Swindon Town","England",2,"-  "," ","Arsenal"
"7","01/01/2012","01/05/2012","Rhys Murphy","21","Preston NE","England",5,"-  "," ","Arsenal"
"8","01/03/2012","01/04/2012","Sean McDermott","18","Leeds","England",0,"-  "," ","Arsenal"
"9","22/03/2012","02/05/2012","Benik Afobe","19","Reading","England",3,"-  "," ","Arsenal"
"10","22/03/2012","31/05/2012","Chuks Aneke","18","Preston NE","England",7,"-  "," ","Arsenal"
"11","17/11/2011","08/01/2012","Luke Freeman","19","Stevenage FC","England",26,"-  "," ","Arsenal"
