"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/08/2003","01/09/2003","Júan","21","Millwall","England",3,"-  "," ","Arsenal"
"2","01/07/2003","01/12/2003","Sebastian Svärd","20","FC Copenhagen","Denmark",0,"-  "," ","Arsenal"
"3","01/08/2003","01/12/2003","Moritz Volz","20","Fulham","England",33,"-  "," ","Arsenal"
"4","01/07/2003","30/06/2004","Igors Stepanovs","27","KSK Beveren","Belgium",21,"-  "," ","Arsenal"
"5","20/08/2003","31/05/2004","Jermaine Pennant","20","Leeds","England",36,"-  "," ","Arsenal"
"6","01/07/2003","30/06/2004","Giovanni van Bronckhorst","28","FC Barcelona","Spain",34,"-  "," ","Arsenal"
"7","01/09/2003","16/05/2004","Francis Jeffers","22","Everton","England",18,"-  "," ","Arsenal"
"8","01/01/2004","30/06/2004","Stathis Tavlaridis","23","LOSC Lille","France",16,"-  "," ","Arsenal"
"9","01/01/2004","30/06/2004","Rami Shaaban","28","West Ham","England",0,"-  "," ","Arsenal"
"10","01/01/2004","30/06/2004","Sebastian Svärd","20","Stoke City","England",13,"-  "," ","Arsenal"
"11","26/08/2003","31/05/2004","Liam Chilvers","21","Colchester Utd.","England",32,"-  "," ","Arsenal"
"12","25/01/2005","30/06/2005","Jermaine Pennant","22","Birmingham","England",12,"4,00 Mill. €  "," ","Arsenal"
"13","01/08/2004","01/04/2005","David Bentley","19","Norwich","England",26,"2,00 Mill. €  "," ","Arsenal"
"14","18/11/2004","31/12/2004","Stuart Taylor","23","Leicester","England",10,"1,00 Mill. €  "," ","Arsenal"
"15","01/09/2004","30/06/2005","Sebastian Svärd","21","Bröndby IF","Denmark",0,"700 Th. €  "," ","Arsenal"
"16","09/07/2004","09/05/2005","Graham Stack","22","Millwall","England",26,"350 Th. €  "," ","Arsenal"
"17","01/12/2004","01/03/2005","Daniel Karbassiyoon","20","Ipswich","England",5,"150 Th. €  "," ","Arsenal"
"18","01/10/2004","01/11/2004","Frank Simek","19","QPR","England",5,"-  "," ","Arsenal"
"19","01/03/2005","01/05/2005","Frank Simek","20","Bournemouth","England",8,"-  "," ","Arsenal"
"20","01/02/2006","30/06/2006","Carlos Vela","16","Celta de Vigo","Spain",0,"3,00 Mill. €  "," ","Arsenal"
"21","01/08/2005","01/12/2005","David Bentley","20","Blackburn","England",29,"2,00 Mill. €  "," ","Arsenal"
"22","01/07/2005","24/08/2005","Jérémie Aliadière","22","Celtic","Scotland",0,"1,25 Mill. €  "," ","Arsenal"
"23","25/08/2005","30/01/2006","Jérémie Aliadière","22","West Ham","England",7,"1,25 Mill. €  "," ","Arsenal"
"24","31/01/2006","01/05/2006","Jérémie Aliadière","22","Wolves","England",14,"1,25 Mill. €  "," ","Arsenal"
"25","01/08/2005","30/06/2006","Justin Hoyte","20","Sunderland","England",27,"800 Th. €  "," ","Arsenal"
"26","01/07/2005","30/06/2006","Sebastian Svärd","22","Vit. Guimarães","Portugal",28,"700 Th. €  "," ","Arsenal"
"27","07/07/2005","01/05/2006","Graham Stack","23","Reading","England",1,"350 Th. €  "," ","Arsenal"
"28","01/10/2005","01/03/2006","Ryan Smith","18","Leicester","England",17,"250 Th. €  "," ","Arsenal"
"29","01/07/2006","30/06/2007","José Antonio Reyes","22","Real Madrid","Spain",30,"16,70 Mill. €  "," ","Arsenal"
"30","01/07/2006","30/06/2007","Carlos Vela","17","UD Salamanca","Spain",1,"3,00 Mill. €  "," ","Arsenal"
"31","30/01/2007","14/05/2007","Alex Song","19","Charlton","England",12,"2,90 Mill. €  "," ","Arsenal"
"32","01/07/2006","01/05/2007","Arturo Lupoli","19","Derby","England",35,"1,60 Mill. €  "," ","Arsenal"
"33","10/08/2006","23/10/2006","Vito Mannone","18","Barnsley FC","England",2,"500 Th. €  "," ","Arsenal"
"34","04/08/2006","30/01/2007","Sebastian Larsson","21","Birmingham","England",43,"400 Th. €  "," ","Arsenal"
"35","01/01/2007","01/05/2007","Joe O'Cearuill","19","Brighton","England",8,"250 Th. €  "," ","Arsenal"
