"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","07/08/2006","30/06/2008","Hernán Crespo","31","Inter","Italy",19,"11,00 Mill. €  "," ","Chelsea"
"2","12/07/2007","30/06/2008","Khalid Boulahrouz","25","Sevilla FC","Spain",6,"5,00 Mill. €  "," ","Chelsea"
"3","01/01/2007","30/06/2008","Alcides","21","PSV Eindhoven","Netherlands",21,"3,00 Mill. €  "," ","Chelsea"
"4","02/08/2007","30/06/2008","Slobodan Rajkovic","18","PSV Eindhoven","Netherlands",13,"1,30 Mill. €  "," ","Chelsea"
"5","28/02/2008","26/03/2008","Scott Sinclair","18","Charlton","England",3,"800 Th. €  "," ","Chelsea"
"6","27/03/2008","14/05/2008","Scott Sinclair","19","Crystal Palace","England",6,"800 Th. €  "," ","Chelsea"
"7","04/01/2008","25/05/2009","Ryan Bertrand","18","Norwich","England",18,"750 Th. €  "," ","Chelsea"
"8","19/07/2007","31/12/2007","Jimmy Smith","20","Norwich","England",9,"500 Th. €  "," ","Chelsea"
"9","01/08/2007","31/12/2007","Ben Sahar","17","QPR","England",9,"500 Th. €  "," ","Chelsea"
"10","01/08/2007","01/05/2008","Jack Cork","18","Scunthorpe Utd.","England",34,"400 Th. €  "," ","Chelsea"
"11","01/02/2008","01/04/2008","Ben Sahar","18","Sheff Wed","England",12,"400 Th. €  "," ","Chelsea"
"12","01/10/2006","01/05/2008","Michael Mancienne","18","QPR","England",30,"350 Th. €  "," ","Chelsea"
"13","06/11/2007","16/12/2007","Scott Sinclair","18","QPR","England",9,"300 Th. €  "," ","Chelsea"
"14","21/08/2007","31/12/2007","Ryan Bertrand","18","Oldham Athletic","England",21,"100 Th. €  "," ","Chelsea"
"15","10/08/2007","11/11/2007","Adrian Pettigrew","20","Brentford","England",11,"50 Th. €  "," ","Chelsea"
"16","08/02/2008","30/03/2008","Adrian Pettigrew","21","Rotherham","England",4,"50 Th. €  "," ","Chelsea"
