"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","29/01/2016","02/01/2017","Charly Musonda Jr.","19","Real Betis","Spain",8,"5,00 Mill. €  "," ","Chelsea"
"2","05/08/2016","31/05/2017","Tammy Abraham","18","Bristol City","England",41,"5,00 Mill. €  "," ","Chelsea"
"3","06/07/2016","30/06/2017","Jeremie Boga","19","Granada CF","Spain",26,"2,50 Mill. €  "," ","Chelsea"
"4","06/01/2017","31/05/2017","Isaiah Brown","19","Huddersfield","England",15,"2,50 Mill. €  "," ","Chelsea"
"5","22/07/2016","30/06/2017","Victorien Angban","19","Granada CF","Spain",10,"1,00 Mill. €  "," ","Chelsea"
"6","15/08/2016","05/01/2017","Isaiah Brown","19","Rotherham","England",20,"1,00 Mill. €  "," ","Chelsea"
"7","15/07/2016","31/05/2017","Kasey Palmer","19","Huddersfield","England",24,"750 Th. €  "," ","Chelsea"
"8","31/08/2016","06/01/2017","Islam Feruz","20","Mouscron","Belgium",7,"400 Th. €  "," ","Chelsea"
"9","16/01/2017","30/06/2017","Joao Rodríguez","20","Cortuluá","Colombia",0,"300 Th. €  "," ","Chelsea"
"10","06/07/2016","31/12/2016","Joao Rodríguez","20","Indep. Santa Fe","Colombia",0,"250 Th. €  "," ","Chelsea"
"11","31/08/2016","31/05/2017","Jake Clarke-Salter","18","Bristol Rovers","England",12,"250 Th. €  "," ","Chelsea"
"12","01/01/2017","31/05/2017","Jay Dasilva","18","Charlton","England",10,"250 Th. €  "," ","Chelsea"
"13","11/01/2017","31/05/2017","Charlie Colkett","20","Swindon Town","England",19,"250 Th. €  "," ","Chelsea"
"14","11/01/2017","31/05/2017","Islam Feruz","21","Swindon Town","England",4,"250 Th. €  "," ","Chelsea"
"15","11/01/2017","31/05/2017","Fankaty Dabo","21","Swindon Town","England",15,"250 Th. €  "," ","Chelsea"
"16","23/01/2017","31/05/2017","Fikayo Tomori","19","Brighton","England",9,"250 Th. €  "," ","Chelsea"
"17","29/01/2017","30/06/2017","Mukhtar Ali","19","Vitesse","Netherlands",6,"250 Th. €  "," ","Chelsea"
"18","15/03/2016","22/07/2016","Alex Davey","21","Stabæk","Norway",0,"100 Th. €  "," ","Chelsea"
"19","01/07/2016","02/01/2017","Mitchell Beeney","20","Crawley Town","England",1,"100 Th. €  "," ","Chelsea"
"20","20/07/2016","31/05/2017","Alex Kiwomya","20","Crewe Alexandra","England",34,"100 Th. €  "," ","Chelsea"
"21","06/08/2016","31/05/2017","Jordan Houghton","20","Doncaster","England",32,"100 Th. €  "," ","Chelsea"
"22","11/08/2016","03/01/2017","Alex Davey","21","Crawley Town","England",14,"100 Th. €  "," ","Chelsea"
"23","31/08/2016","05/01/2017","Charlie Colkett","19","Bristol Rovers","England",15,"100 Th. €  "," ","Chelsea"
"24","31/08/2016","26/01/2017","Dion Conroy","20","Aldershot Town","England",15,"-  "," ","Chelsea"
"25","02/02/2017","30/06/2017","Miro Muheim","18","FC Zürich","Switzerland",0,"-  "," ","Chelsea"
"26","31/08/2016","30/06/2017","Juan Cuadrado","28","Juventus","Italy",30,"25,00 Mill. €  "," ","Chelsea"
"27","10/07/2015","30/06/2017","Andreas Christensen","19","Bor. M'gladbach","Germany",31,"18,00 Mill. €  "," ","Chelsea"
"28","01/01/2017","30/06/2018","Marco van Ginkel","24","PSV Eindhoven","Netherlands",15,"12,00 Mill. €  "," ","Chelsea"
"29","30/08/2016","31/05/2017","Loïc Rémy","29","Crystal Palace","England",5,"9,00 Mill. €  "," ","Chelsea"
"30","02/08/2016","30/06/2017","Abdul Rahman Baba","22","FC Schalke 04","Germany",13,"8,00 Mill. €  "," ","Chelsea"
"31","12/08/2016","30/06/2017","Bertrand Traoré","20","AFC Ajax","Netherlands",24,"8,00 Mill. €  "," ","Chelsea"
"32","27/08/2016","30/06/2017","Mario Pasalic","21","AC Milan","Italy",24,"8,00 Mill. €  "," ","Chelsea"
"33","30/08/2016","31/12/2016","Kenedy","20","Watford","England",1,"8,00 Mill. €  "," ","Chelsea"
"34","01/07/2015","30/06/2017","Lewis Baker","20","Vitesse","Netherlands",33,"5,50 Mill. €  "," ","Chelsea"
"35","01/07/2016","08/01/2017","Nathan Aké","21","Bournemouth","England",10,"5,00 Mill. €  "," ","Chelsea"
"36","30/08/2016","14/01/2017","Patrick Bamford","22","Burnley","England",6,"5,00 Mill. €  "," ","Chelsea"
"37","31/08/2016","30/06/2017","Christian Atsu","24","Newcastle","England",32,"5,00 Mill. €  "," ","Chelsea"
"38","13/07/2016","31/05/2017","Tomas Kalas","23","Fulham","England",36,"4,00 Mill. €  "," ","Chelsea"
"39","14/08/2016","30/06/2017","Michael Hector","24","E. Frankfurt","Germany",22,"3,00 Mill. €  "," ","Chelsea"
"40","31/08/2016","30/06/2018","Matt Miazga","21","Vitesse","Netherlands",23,"3,00 Mill. €  "," ","Chelsea"
"41","31/08/2016","31/05/2018","Lucas Piazón","22","Fulham","England",29,"2,50 Mill. €  "," ","Chelsea"
"42","31/08/2016","30/06/2017","Kenneth Omeruo","22","Alanyaspor","Turkey",26,"2,00 Mill. €  "," ","Chelsea"
"43","07/01/2016","30/06/2017","Wallace Oliveira","21","Grêmio","Brazil",0,"1,50 Mill. €  "," ","Chelsea"
"44","10/07/2015","30/06/2017","Nathan","19","Vitesse","Netherlands",27,"1,25 Mill. €  "," ","Chelsea"
"45","22/07/2016","30/06/2017","Matej Delac","23","Mouscron","Belgium",23,"900 Th. €  "," ","Chelsea"
"46","31/08/2016","30/06/2017","Cristian Cuevas","21","Sint-Truiden","Belgium",18,"900 Th. €  "," ","Chelsea"
"47","12/08/2016","30/06/2017","Danilo Pantic","19","SBV Excelsior","Netherlands",9,"400 Th. €  "," ","Chelsea"
"48","15/08/2016","31/05/2017","Jamal Blackman","22","Wycombe","England",42,"250 Th. €  "," ","Chelsea"
