"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","29/01/2016","02/01/2017","Charly Musonda Jr.","19","Real Betis","Spain",8,"5,00 Mill. €  "," ","Chelsea"
"2","05/08/2016","31/05/2017","Tammy Abraham","18","Bristol City","England",41,"5,00 Mill. €  "," ","Chelsea"
"3","06/07/2016","30/06/2017","Jeremie Boga","19","Granada CF","Spain",26,"2,50 Mill. €  "," ","Chelsea"
"4","06/01/2017","31/05/2017","Isaiah Brown","19","Huddersfield","England",15,"2,50 Mill. €  "," ","Chelsea"
"5","22/07/2016","30/06/2017","Victorien Angban","19","Granada CF","Spain",10,"1,00 Mill. €  "," ","Chelsea"
"6","15/08/2016","05/01/2017","Isaiah Brown","19","Rotherham","England",20,"1,00 Mill. €  "," ","Chelsea"
"7","15/07/2016","31/05/2017","Kasey Palmer","19","Huddersfield","England",24,"750 Th. €  "," ","Chelsea"
"8","31/08/2016","06/01/2017","Islam Feruz","20","Mouscron","Belgium",7,"400 Th. €  "," ","Chelsea"
"9","16/01/2017","30/06/2017","Joao Rodríguez","20","Cortuluá","Colombia",0,"300 Th. €  "," ","Chelsea"
"10","06/07/2016","31/12/2016","Joao Rodríguez","20","Indep. Santa Fe","Colombia",0,"250 Th. €  "," ","Chelsea"
"11","31/08/2016","31/05/2017","Jake Clarke-Salter","18","Bristol Rovers","England",12,"250 Th. €  "," ","Chelsea"
"12","01/01/2017","31/05/2017","Jay Dasilva","18","Charlton","England",10,"250 Th. €  "," ","Chelsea"
"13","11/01/2017","31/05/2017","Charlie Colkett","20","Swindon Town","England",19,"250 Th. €  "," ","Chelsea"
"14","11/01/2017","31/05/2017","Islam Feruz","21","Swindon Town","England",4,"250 Th. €  "," ","Chelsea"
"15","11/01/2017","31/05/2017","Fankaty Dabo","21","Swindon Town","England",15,"250 Th. €  "," ","Chelsea"
"16","23/01/2017","31/05/2017","Fikayo Tomori","19","Brighton","England",9,"250 Th. €  "," ","Chelsea"
"17","29/01/2017","30/06/2017","Mukhtar Ali","19","Vitesse","Netherlands",6,"250 Th. €  "," ","Chelsea"
"18","15/03/2016","22/07/2016","Alex Davey","21","Stabæk","Norway",0,"100 Th. €  "," ","Chelsea"
"19","01/07/2016","02/01/2017","Mitchell Beeney","20","Crawley Town","England",1,"100 Th. €  "," ","Chelsea"
"20","20/07/2016","31/05/2017","Alex Kiwomya","20","Crewe Alexandra","England",34,"100 Th. €  "," ","Chelsea"
"21","06/08/2016","31/05/2017","Jordan Houghton","20","Doncaster","England",32,"100 Th. €  "," ","Chelsea"
"22","11/08/2016","03/01/2017","Alex Davey","21","Crawley Town","England",14,"100 Th. €  "," ","Chelsea"
"23","31/08/2016","05/01/2017","Charlie Colkett","19","Bristol Rovers","England",15,"100 Th. €  "," ","Chelsea"
"24","31/08/2016","26/01/2017","Dion Conroy","20","Aldershot Town","England",15,"-  "," ","Chelsea"
"25","02/02/2017","30/06/2017","Miro Muheim","18","FC Zürich","Switzerland",0,"-  "," ","Chelsea"
