"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/09/2008","30/06/2009","Andrii Voronin","29","Hertha BSC","Germany",27,"6,00 Mill. €  "," ","Liverpool"
"2","20/01/2009","31/05/2009","Jermaine Pennant","26","Portsmouth","England",13,"6,00 Mill. €  "," ","Liverpool"
"3","01/07/2008","30/06/2009","Sebastián Leto","21","Olympiacos","Greece",24,"3,00 Mill. €  "," ","Liverpool"
"4","01/07/2008","30/06/2009","Jack Hobbs","19","Leicester","England",44,"500 Th. €  "," ","Liverpool"
"5","01/07/2008","30/06/2009","Miki Roqué","19","FC Cartagena","Spain",1,"200 Th. €  "," ","Liverpool"
"6","01/08/2008","01/05/2009","David Martin","22","Leicester","England",25,"200 Th. €  "," ","Liverpool"
"7","01/08/2008","01/12/2008","Robbie Threlfall","19","Hereford Utd.","England",3,"100 Th. €  "," ","Liverpool"
"8","01/08/2008","01/12/2008","Godwin Antwi","20","Tranmere Rovers","England",5,"100 Th. €  "," ","Liverpool"
"9","22/08/2008","31/12/2008","Craig Lindfield","19","Bournemouth","England",3,"100 Th. €  "," ","Liverpool"
"10","01/01/2009","01/05/2009","Robbie Threlfall","20","Stockport","England",2,"100 Th. €  "," ","Liverpool"
"11","30/01/2009","31/05/2009","Craig Lindfield","20","Accrington","England",20,"100 Th. €  "," ","Liverpool"
"12","01/02/2009","01/05/2009","Godwin Antwi","20","Hereford Utd.","England",5,"100 Th. €  "," ","Liverpool"
"13","01/01/2009","01/02/2009","Krisztián Németh","19","Blackpool","England",1,"50 Th. €  "," ","Liverpool"
"14","26/03/2009","31/05/2009","Martin Kelly","18","Huddersfield","England",7,"50 Th. €  "," ","Liverpool"
"15","01/03/2009","31/05/2009","Astrit Ajdarevic","18","Leicester","England",5,"45 Th. €  "," ","Liverpool"
"16","02/02/2009","10/05/2009","Péter Gulácsi","18","Hereford Utd.","England",18,"-  "," ","Liverpool"
"17","01/08/2008","01/12/2008","Josh Mimms","19","York City","England",0,"-  "," ","Liverpool"
"18","01/02/2009","01/05/2009","Adam Hammill","21","Barnsley FC","England",14,"1,00 Mill. €  "," ","Liverpool"
"19","01/07/2008","30/06/2009","Paul Anderson","19","Nottm Forest","England",26,"750 Th. €  "," ","Liverpool"
"20","01/08/2008","01/12/2008","Adam Hammill","20","Blackpool","England",22,"400 Th. €  "," ","Liverpool"
"21","01/11/2008","01/05/2009","Ryan Flynn","20","Wrexham","Wales",0,"100 Th. €  "," ","Liverpool"
"22","01/01/2009","30/06/2009","Jordy Brouwer","20","RKC Waalwijk","Netherlands",5,"75 Th. €  "," ","Liverpool"
