"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","30/08/2015","30/06/2016","Lazar Markovic","21","Fenerbahce","Turkey",14,"15,00 Mill. €  "," ","Liverpool"
"2","27/08/2015","30/06/2016","Mario Balotelli","25","AC Milan","Italy",20,"11,00 Mill. €  "," ","Liverpool"
"3","29/07/2015","31/05/2016","Andre Wisdom","22","Norwich","England",10,"5,00 Mill. €  "," ","Liverpool"
"4","01/09/2015","01/01/2016","Tiago Ilori","22","Aston Villa","England",0,"4,00 Mill. €  "," ","Liverpool"
"5","07/01/2016","30/06/2016","Marko Grujic","19","Red Star","Serbia",29,"3,00 Mill. €  "," ","Liverpool"
"6","06/07/2015","30/06/2016","Luis Alberto","22","Dep. La Coruña","Spain",29,"2,50 Mill. €  "," ","Liverpool"
"7","31/08/2015","30/06/2016","Samed Yesil","21","FC Luzern","Switzerland",14,"1,30 Mill. €  "," ","Liverpool"
"8","04/08/2015","07/01/2016","Sheyi Ojo","18","Wolves","England",17,"500 Th. €  "," ","Liverpool"
"9","01/07/2015","10/01/2016","Danny Ward","22","Aberdeen FC","Scotland",21,"350 Th. €  "," ","Liverpool"
"10","10/07/2015","31/05/2016","Jordan Williams","19","Swindon Town","England",9,"100 Th. €  "," ","Liverpool"
"11","11/07/2015","08/01/2016","Kevin Stewart","21","Swindon Town","England",5,"100 Th. €  "," ","Liverpool"
