"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","31/07/2017","30/06/2018","Taiwo Awoniyi","19","Mouscron","Belgium",27,"1,50 Mill. €  "," ","Liverpool"
"2","31/08/2017","08/01/2018","Ryan Kent","20","SC Freiburg","Germany",6,"1,50 Mill. €  "," ","Liverpool"
"3","12/01/2018","31/05/2018","Ryan Kent","21","Bristol City","England",10,"1,50 Mill. €  "," ","Liverpool"
"4","31/08/2017","30/06/2018","Allan","20","Apol. Limassol","Cyprus",15,"1,25 Mill. €  "," ","Liverpool"
"5","31/01/2018","31/05/2018","Ovie Ejaria","20","Sunderland","England",11,"1,00 Mill. €  "," ","Liverpool"
"6","31/01/2018","31/05/2018","Harry Wilson","20","Hull City","England",13,"1,00 Mill. €  "," ","Liverpool"
"7","26/07/2017","30/06/2018","Pedro Chirivella","20","Willem II","Netherlands",31,"750 Th. €  "," ","Liverpool"
"8","06/02/2017","31/12/2017","Brooks Lennon","19","Salt Lake","United States",33,"400 Th. €  "," ","Liverpool"
"9","31/01/2018","30/06/2018","Anderson Arroyo","18","RCD Mallorca B ","Spain",0,"150 Th. €  "," ","Liverpool"
"10","01/08/2017","01/01/2018","Shamal George","19","Carlisle United","England",4,"-  "," ","Liverpool"
"11","31/08/2017","01/01/2018","Toni Gomes","18","Forest Green","England",9,"-  "," ","Liverpool"
"12","05/01/2018","31/05/2018","Corey Whelan","20","Yeovil Town","England",7,"-  "," ","Liverpool"
"13","11/01/2018","31/05/2018","Matty Virtue","20","Notts County","England",13,"-  "," ","Liverpool"
"14","27/01/2018","31/05/2018","Andy Firth","21","Chester FC","England",11,"-  "," ","Liverpool"
