"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","31/08/2012","30/06/2013","Roque Santa Cruz","31","Málaga CF","Spain",31,"3,00 Mill. €  "," ","Manchester City"
"2","31/08/2012","08/01/2013","Dedryck Boyata","21","FC Twente","Netherlands",5,"2,00 Mill. €  "," ","Manchester City"
"3","15/02/2013","05/05/2013","Karim Rekik","18","Blackburn","England",5,"2,00 Mill. €  "," ","Manchester City"
"4","06/07/2012","31/05/2013","Wayne Bridge","31","Brighton","England",37,"1,50 Mill. €  "," ","Manchester City"
"5","07/01/2013","31/12/2013","Abdisalam Ibrahim","21","Strømsgodset","Norway",27,"800 Th. €  "," ","Manchester City"
"6","31/01/2013","30/06/2013","Mohammed Abu","21","FC Lorient","France",7,"750 Th. €  "," ","Manchester City"
"7","27/08/2012","30/01/2013","Mohammed Abu","20","Rayo Vallecano","Spain",1,"600 Th. €  "," ","Manchester City"
"8","01/08/2012","31/12/2012","Abdisalam Ibrahim","21","Strømsgodset","Norway",27,"500 Th. €  "," ","Manchester City"
"9","31/08/2012","31/05/2013","Ryan McGivern","22","Hibernian FC","Scotland",27,"500 Th. €  "," ","Manchester City"
"10","15/09/2012","28/01/2013","Reece Wabara","20","Oldham Athletic","England",25,"-  "," ","Manchester City"
"11","29/09/2012","29/10/2012","Abdul Razak","19","Charlton","England",2,"-  "," ","Manchester City"
"12","04/01/2013","31/05/2013","Adam Drury","19","Burton Albion","England",12,"-  "," ","Manchester City"
"13","10/01/2013","31/05/2013","Alex Nimely","21","Crystal Palace","England",2,"-  "," ","Manchester City"
"14","30/01/2013","08/03/2013","Reece Wabara","21","Blackpool","England",1,"-  "," ","Manchester City"
"15","07/03/2013","28/04/2013","Eirik Johansen","20","Scunthorpe Utd.","England",8,"-  "," ","Manchester City"
"16","19/01/2013","30/06/2013","Omar Elabdellaoui","21","E. Braunschweig","Germany",14,"1,00 Mill. €  "," ","Manchester City"
"17","01/08/2012","31/12/2016","Nana Boateng","18","Strømsgodset","Norway",17,"800 Th. €  "," ","Manchester City"
"18","21/07/2012","14/01/2013","Omar Elabdellaoui","20","Feyenoord","Netherlands",5,"500 Th. €  "," ","Manchester City"
"19","21/08/2012","06/01/2013","Harry Bunn","19","Crewe Alexandra","England",4,"100 Th. €  "," ","Manchester City"
"20","08/01/2013","13/06/2013","Luca Scapuzzi","21","Varese","Italy",10,"100 Th. €  "," ","Manchester City"
"21","28/01/2013","01/12/2013","Godsway Donyoh","18","Djurgarden","Sweden",20,"100 Th. €  "," ","Manchester City"
"22","01/08/2012","31/08/2013","Enock Kwakwa","18","Strømsgodset","Norway",1,"50 Th. €  "," ","Manchester City"
"23","01/08/2012","30/06/2013","Thomas Agyiri","18","Gil Vicente","Portugal",0,"-  "," ","Manchester City"
"24","11/10/2012","05/01/2013","Emyr Huws","19","Northampt. Town","England",10,"-  "," ","Manchester City"
"25","25/10/2012","21/11/2012","Jérémy Hélan","20","Shrewsbury","England",3,"-  "," ","Manchester City"
"26","22/11/2012","31/05/2013","Jérémy Hélan","20","Sheff Wed","England",28,"-  "," ","Manchester City"
"27","22/02/2013","31/05/2013","Alex Henshall","19","Chesterfield FC","England",7,"-  "," ","Manchester City"
