"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/02/2015","30/06/2016","Divine Naah","18","NAC Breda","Netherlands",9,"650 Th. €  "," ","Manchester City"
"2","28/11/2014","03/05/2015","Seko Fofana","19","Fulham","England",21,"500 Th. €  "," ","Manchester City"
"3","08/01/2015","30/06/2015","Sinan Bytyqi","19","SC Cambuur","Netherlands",8,"500 Th. €  "," ","Manchester City"
"4","05/08/2014","31/08/2014","Emyr Huws","20","Wigan","England",16,"300 Th. €  "," ","Manchester City"
"5","22/01/2015","10/05/2015","Devante Cole","19","MK Dons","England",15,"250 Th. €  "," ","Manchester City"
"6","19/08/2014","03/01/2015","Devante Cole","19","Barnsley FC","England",19,"150 Th. €  "," ","Manchester City"
"7","12/08/2014","31/05/2015","Greg Leigh","19","Crewe Alexandra","England",38,"100 Th. €  "," ","Manchester City"
"8","06/03/2015","31/10/2015","Shay Facey","20","NYCFC","United States",23,"100 Th. €  "," ","Manchester City"
"9","25/03/2015","30/06/2015","Dominic Oduro","20","Frej","Sweden",12,"100 Th. €  "," ","Manchester City"
"10","02/07/2014","02/01/2015","Ellis Plummer","19","St. Mirren","Scotland",6,"50 Th. €  "," ","Manchester City"
"11","01/09/2014","02/02/2015","Dominic Oduro","19","Mouscron","Belgium",0,"50 Th. €  "," ","Manchester City"
"12","01/08/2014","31/12/2014","Divine Naah","18","Strømsgodset","Norway",0,"50 Th. €  "," ","Manchester City"
"13","01/08/2014","01/01/2015","Billy O'Brien","18","Hyde United","England",0,"-  "," ","Manchester City"
"14","01/10/2014","25/11/2014","Jordy Hiwula","20","Yeovil Town","England",8,"-  "," ","Manchester City"
"15","30/01/2015","30/04/2015","George Evans","20","Scunthorpe Utd.","England",16,"-  "," ","Manchester City"
"16","31/01/2015","30/08/2015","Chidiebere Nwakali","18","A. Malagueño","Spain",0,"-  "," ","Manchester City"
"17","02/02/2015","05/05/2015","Jordy Hiwula","20","Walsall","England",19,"-  "," ","Manchester City"
