"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","04/07/2017","29/06/2018","Angeliño","20","NAC Breda","Netherlands",34,"3,00 Mill. €  "," ","Manchester City"
"2","07/01/2017","30/06/2018","Manu García","19","NAC Breda","Netherlands",34,"2,00 Mill. €  "," ","Manchester City"
"3","01/07/2017","30/06/2018","Thierry Ambrose","20","NAC Breda","Netherlands",30,"1,25 Mill. €  "," ","Manchester City"
"4","31/08/2017","30/06/2018","Yaw Yeboah","20","Real Oviedo","Spain",20,"800 Th. €  "," ","Manchester City"
"5","08/02/2017","31/12/2017","Chidiebere Nwakali","20","Sogndal","Norway",0,"600 Th. €  "," ","Manchester City"
"6","01/07/2017","30/06/2019","Paolo Fernandes","18","NAC Breda","Netherlands",25,"600 Th. €  "," ","Manchester City"
"7","10/01/2018","14/05/2018","Chidiebere Nwakali","21","Aberdeen FC","Scotland",5,"600 Th. €  "," ","Manchester City"
"8","31/01/2018","31/05/2018","Jacob Davenport","19","Burton Albion","England",17,"500 Th. €  "," ","Manchester City"
"9","17/08/2017","14/05/2018","Brandon Barker","20","Hibernian FC","Scotland",22,"400 Th. €  "," ","Manchester City"
"10","03/08/2017","11/01/2018","Isaac Buckley-Ricketts","19","FC Twente","Netherlands",6,"350 Th. €  "," ","Manchester City"
"11","12/01/2018","31/05/2018","Isaac Buckley-Ricketts","19","Oxford United","England",11,"300 Th. €  "," ","Manchester City"
"12","01/07/2016","30/06/2018","Thomas Agyepong","19","NAC Breda","Netherlands",12,"250 Th. €  "," ","Manchester City"
"13","03/08/2017","31/05/2018","Rodney Kongolo","19","Doncaster","England",35,"250 Th. €  "," ","Manchester City"
"14","02/07/2017","31/12/2018","Uriel Antuna","19","FC Groningen","Netherlands",11,"250 Th. €  "," ","Manchester City"
"15","31/08/2017","31/05/2018","Kean Bryan","20","Oldham Athletic","England",32,"250 Th. €  "," ","Manchester City"
"16","01/07/2017","28/01/2018","Ashley Smith-Brown","21","Heart of Midl.","Scotland",2,"200 Th. €  "," ","Manchester City"
"17","29/01/2018","31/05/2018","Ashley Smith-Brown","21","Oxford United","England",9,"200 Th. €  "," ","Manchester City"
"18","23/02/2017","26/07/2017","Divine Naah","20","Örebro SK","Sweden",0,"150 Th. €  "," ","Manchester City"
"19","01/07/2017","30/01/2018","Collins Tanor","19","Nordsjaelland","Denmark",0,"150 Th. €  "," ","Manchester City"
"20","31/01/2018","30/06/2018","Divine Naah","21","AFC Tubize","Belgium",5,"150 Th. €  "," ","Manchester City"
"21","31/01/2018","30/06/2018","Collins Tanor","20","KFCO Beerschot","Belgium",2,"150 Th. €  "," ","Manchester City"
"22","07/01/2018","30/06/2018","Aaron Nemane","20","Go Ahead Eagles","Netherlands",17,"125 Th. €  "," ","Manchester City"
"23","23/08/2017","01/01/2018","Aaron Nemane","19","Rangers","Scotland",5,"-  "," ","Manchester City"
"24","01/09/2017","31/12/2017","Kjetil Haug","19","CF Peralada","Spain",0,"-  "," ","Manchester City"
"25","31/01/2018","31/05/2018","Charlie Oliver","20","Fleetwood","England",1,"-  "," ","Manchester City"
