"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation"
"1","31/01/2018","31/05/2018","Eliaquim Mangala","26","Everton","England",2,"15,00 Mill. €  "," "
"2","18/07/2017","31/05/2018","Joe Hart","30","West Ham","England",19,"10,00 Mill. €  "," "
"3","31/07/2017","30/06/2018","Pablo Maffeo","20","Girona","Spain",33,"10,00 Mill. €  "," "
"4","28/08/2017","21/05/2018","Patrick Roberts","20","Celtic","Scotland",8,"7,50 Mill. €  "," "
"5","31/01/2018","31/05/2018","Jack Harrison","21","Middlesbrough","England",4,"3,50 Mill. €  "," "
"6","18/08/2017","31/01/2018","Olarenwaju Kayode","24","Girona","Spain",12,"3,00 Mill. €  "," "
"7","31/08/2017","30/06/2018","Jason Denayer","22","Galatasaray","Turkey",22,"3,00 Mill. €  "," "
"8","02/03/2018","30/06/2018","Olarenwaju Kayode","24","Shakhtar D.","Ukraine",0,"3,00 Mill. €  "," "
"9","03/07/2017","31/05/2018","Bersant Celina","20","Ipswich","England",35,"2,50 Mill. €  "," "
"10","01/08/2017","30/06/2019","Douglas Luiz","19","Girona","Spain",15,"2,50 Mill. €  "," "
"11","01/07/2017","31/05/2018","Angus Gunn","21","Norwich","England",46,"2,00 Mill. €  "," "
"12","01/08/2017","30/06/2019","Aleix García","20","Girona","Spain",20,"2,00 Mill. €  "," "
"13","11/07/2017","30/06/2018","Luka Ilic","18","Red Star","Serbia",14,"2,00 Mill. €  "," "
"14","16/02/2018","15/07/2018","Mix Diskerud","27","IFK Göteborg","Sweden",12,"900 Th. €  "," "
"15","01/07/2017","30/06/2018","Pablo Marí","23","NAC Breda","Netherlands",31,"750 Th. €  "," "
"16","27/07/2017","30/06/2018","Anthony Cáceres","24","Al-Wasl","United Arab Emirates",21,"500 Th. €  "," "
"17","10/08/2017","15/01/2018","Marlos Moreno","20","Girona","Spain",2,"500 Th. €  "," "
"18","16/01/2018","31/12/2018","Marlos Moreno","21","Flamengo","Brazil",21,"500 Th. €  "," "
"19","31/01/2018","30/06/2018","Erik Palmer-Brown","20","KV Kortrijk","Belgium",1,"500 Th. €  "," "
