"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","07/07/2018","30/06/2019","Manu García","20","Toulouse","France",24,"5,00 Mill. €  "," ","Manchester City"
"2","03/08/2018","31/05/2019","Tosin Adarabioyo","20","West Brom","England",24,"3,50 Mill. €  "," ","Manchester City"
"3","26/07/2018","30/06/2019","Thierry Ambrose","21","Lens","France",23,"1,75 Mill. €  "," ","Manchester City"
"4","16/01/2019","30/06/2019","Yangel Herrera","21","SD Huesca","Spain",7,"1,50 Mill. €  "," ","Manchester City"
"5","09/02/2017","31/12/2018","Yangel Herrera","19","NYCFC","United States",0,"1,00 Mill. €  "," ","Manchester City"
"6","09/08/2018","31/05/2019","Lukas Nmecha","19","Preston NE","England",31,"1,00 Mill. €  "," ","Manchester City"
"7","01/07/2017","30/06/2019","Paolo Fernandes","18","NAC Breda","Netherlands",7,"600 Th. €  "," ","Manchester City"
"8","03/07/2018","30/06/2019","Matt Smith","18","FC Twente","Netherlands",26,"400 Th. €  "," ","Manchester City"
"9","07/08/2018","31/05/2019","Brandon Barker","21","Preston NE","England",13,"400 Th. €  "," ","Manchester City"
"10","30/08/2018","30/06/2019","Ernest Agyiri","20","AFC Tubize","Belgium",0,"300 Th. €  "," ","Manchester City"
"11","02/07/2017","31/12/2018","Uriel Antuna","19","FC Groningen","Netherlands",9,"250 Th. €  "," ","Manchester City"
"12","07/08/2018","31/05/2019","Thomas Agyepong","21","Hibernian FC","Scotland",5,"250 Th. €  "," ","Manchester City"
"13","29/01/2019","31/12/2019","Uriel Antuna","21","LA Galaxy","United States",2,"250 Th. €  "," ","Manchester City"
"14","31/08/2018","30/06/2019","Aaron Nemane","20","AFC Tubize","Belgium",0,"200 Th. €  "," ","Manchester City"
"15","17/08/2016","13/08/2018","Ernest Agyiri","18","Vålerenga","Norway",0,"100 Th. €  "," ","Manchester City"
"16","31/08/2018","30/01/2019","Collins Tanor","20","Hobro IK","Denmark",2,"100 Th. €  "," ","Manchester City"
"17","31/01/2019","30/06/2019","Collins Tanor","21","Thisted FC","Denmark",2,"100 Th. €  "," ","Manchester City"
"18","11/08/2018","30/06/2019","Aminu Mohammed","18","NAC Breda U21","Netherlands",2,"100 Th. €  "," ","Manchester City"
"19","04/07/2018","17/01/2019","Ed Francis","18","Almere City","Netherlands",1,"-  "," ","Manchester City"
"20","31/08/2018","01/01/2019","Charlie Oliver","20","Brentford B","England",0,"-  "," ","Manchester City"
"21","24/01/2019","31/05/2019","Luke Bolton","19","Wycombe","England",7,"-  "," ","Manchester City"
