"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/01/2008","30/06/2008","Manucho","24","Panathinaikos","Greece",4,"2,00 Mill. €  "," ","Manchester United"
"2","01/10/2007","01/12/2007","Lee Martin","20","Plymouth","England",12,"1,25 Mill. €  "," ","Manchester United"
"3","15/10/2007","02/01/2008","Phil Bardsley","22","Sheffield Utd.","England",16,"1,25 Mill. €  "," ","Manchester United"
"4","01/01/2008","01/05/2008","Lee Martin","20","Sheffield Utd.","England",6,"900 Th. €  "," ","Manchester United"
"5","21/03/2008","31/05/2008","Danny Simpson","21","Ipswich","England",8,"900 Th. €  "," ","Manchester United"
"6","18/10/2007","31/05/2008","Fraizer Campbell","20","Hull City","England",34,"650 Th. €  "," ","Manchester United"
"7","04/01/2008","12/05/2008","Jonny Evans","20","Sunderland","England",15,"500 Th. €  "," ","Manchester United"
"8","01/08/2007","01/12/2007","Ritchie Jones","20","Yeovil Town","England",9,"250 Th. €  "," ","Manchester United"
"9","01/08/2007","31/12/2007","Michael Lea","19","Royal Antwerp","Belgium",15,"150 Th. €  "," ","Manchester United"
"10","01/11/2007","01/02/2008","David Gray","19","Crewe Alexandra","England",1,"-  "," ","Manchester United"
"11","03/01/2008","03/02/2008","Michael Barnes","19","Chesterfield FC","England",3,"-  "," ","Manchester United"
"12","29/03/2008","29/04/2008","Michael Barnes","19","Shrewsbury","England",2,"-  "," ","Manchester United"
