"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/07/2018","31/05/2019","Dean Henderson","21","Sheffield Utd.","England",34,"2,50 Mill. €  "," ","Manchester United"
"2","28/08/2018","31/05/2019","Demetri Mitchell","21","Heart of Midl.","Scotland",20,"400 Th. €  "," ","Manchester United"
"3","27/07/2018","21/12/2018","Matty Willock","21","St. Mirren","Scotland",12,"250 Th. €  "," ","Manchester United"
"4","18/01/2019","31/05/2019","Regan Poole","20","Newport County","England",7,"250 Th. €  "," ","Manchester United"
"5","31/01/2019","31/05/2019","Matty Willock","22","Crawley Town","England",2,"250 Th. €  "," ","Manchester United"
"6","15/08/2018","31/05/2019","Kieran O'Hara","22","Macclesfield","England",25,"-  "," ","Manchester United"
"7","11/01/2019","31/05/2019","Ethan Hamilton","20","Rochdale","England",7,"-  "," ","Manchester United"
"8","31/01/2019","31/05/2019","Callum Whelan","20","Port Vale","England",0,"-  "," ","Manchester United"
"9","31/01/2019","31/05/2019","Zak Dearnley","20","Oldham Athletic","England",5,"-  "," ","Manchester United"
"10","31/01/2019","31/05/2019","Tom Sang","19","Fylde","England",0,"-  "," ","Manchester United"
