"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","25/08/2015","30/06/2016","Juan Cuadrado","27","Juventus","Italy",28
"2","06/08/2015","30/06/2016","Mohamed Salah","23","AS Roma","Italy",34
"3","10/07/2015","30/06/2017","Andreas Christensen","19","Bor. M'gladbach","Germany",31
"4","10/07/2015","31/01/2016","Marco van Ginkel","22","Stoke City","England",17
"5","01/09/2015","31/05/2016","Victor Moses","24","West Ham","England",21
"6","01/02/2016","30/06/2016","Marco van Ginkel","23","PSV Eindhoven","Netherlands",13
"7","01/07/2015","30/06/2017","Lewis Baker","20","Vitesse","Netherlands",31
"8","01/07/2015","04/01/2016","Christian Atsu","23","Bournemouth","England",0
"9","21/07/2015","04/01/2016","Patrick Bamford","21","Crystal Palace","England",6
"10","21/01/2016","30/06/2016","Papy Djilobodji","27","Werder Bremen","Germany",14
"11","25/01/2016","30/06/2016","Christian Atsu","24","Málaga CF","Spain",12
"12","30/01/2016","31/05/2016","Patrick Bamford","22","Norwich","England",7
"13","03/07/2015","30/06/2016","Mario Pasalic","20","Monaco","France",16
"14","31/08/2015","30/06/2016","Nathaniel Chalobah","20","SSC Napoli","Italy",5
"15","09/01/2015","31/05/2016","Tomas Kalas","21","Middlesbrough","England",26
"16","25/08/2015","30/06/2016","Marko Marin","26","Trabzonspor","Turkey",24
"17","31/08/2015","28/04/2016","Lucas Piazón","21","Reading","England",23
"18","02/09/2015","28/04/2016","Michael Hector","23","Reading","England",30
"19","22/07/2015","06/01/2016","Wallace Oliveira","21","Carpi","Italy",6
"20","14/08/2015","31/05/2016","Nathan Aké","20","Watford","England",24
"21","10/08/2015","30/06/2016","Cristian Cuevas","20","Sint-Truiden","Belgium",22
"22","07/01/2016","30/06/2017","Wallace Oliveira","21","Grêmio","Brazil",8
"23","10/07/2015","30/06/2017","Nathan","19","Vitesse","Netherlands",18
"24","24/07/2015","30/06/2016","Danilo Pantic","18","Vitesse","Netherlands",6
"25","22/07/2015","30/06/2016","Kenneth Omeruo","21","Kasimpasa","Turkey",25
"26","31/01/2015","30/06/2016","Stipe Perica","19","Udinese Calcio","Italy",11
"27","03/08/2015","30/06/2016","Matej Delac","22","FK Sarajevo","Bosnia-Herzegovina",12
"28","03/08/2015","31/12/2015","Ulises Dávila","24","Vitória Setúbal","Portugal",5
"29","06/08/2015","30/06/2016","Todd Kane","21","NEC Nijmegen","Netherlands",31
"30","18/03/2016","12/06/2016","Jamal Blackman","22","Östersund","Sweden",12
