"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","25/07/2017","10/01/2018","Isaiah Brown","20","Brighton","England",13
"2","24/07/2017","30/06/2018","Mason Mount","18","Vitesse","Netherlands",29
"3","28/08/2017","31/05/2018","Jeremie Boga","20","Birmingham","England",31
"4","04/07/2017","02/01/2018","Kasey Palmer","20","Huddersfield","England",4
"5","31/01/2018","31/05/2018","Kasey Palmer","21","Derby","England",15
"6","28/07/2017","31/05/2018","Victorien Angban","20","Waasl.-Beveren","Belgium",25
"7","31/08/2017","31/05/2018","Fikayo Tomori","19","Hull City","England",25
"8","08/01/2018","31/05/2018","Jake Clarke-Salter","20","Sunderland","England",11
"9","01/07/2017","30/06/2018","Fankaty Dabo","21","Vitesse","Netherlands",26
"10","06/09/2017","30/06/2018","Joao Rodríguez","21","Tampico Madero","Mexico",9
"11","06/07/2017","31/01/2018","Charlie Colkett","20","Vitesse","Netherlands",6
"12","17/07/2017","03/01/2018","Ike Ugbo","18","Barnsley FC","England",16
"13","21/07/2017","31/05/2018","Jay Dasilva","19","Charlton","England",38
"14","04/01/2018","31/05/2018","Ike Ugbo","19","MK Dons","England",15
"15","05/07/2017","31/12/2017","Josimar Quintero","20","Rostov","Russia",0
"16","17/01/2018","30/06/2018","Josimar Quintero","20","Betis B","Spain",6
"17","31/08/2017","31/05/2018","Jordan Houghton","21","Doncaster","England",37
"18","22/02/2018","30/06/2018","Mitchell Beeney","22","Sligo Rovers","Ireland",26
"19","02/07/2017","31/05/2018","Nathan Baxter","18","Woking FC","England",42
"20","07/07/2017","31/05/2018","Bradley Collins","20","Forest Green","England",39
"21","28/07/2017","31/05/2018","Jared Thompson","18","Chippenham","England",0
"22","31/08/2017","31/05/2018","Charlie Wakefield","19","Stevenage FC","England",0
