"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","10/08/2018","30/06/2019","Michy Batshuayi","24","Valencia","Spain",13
"2","13/08/2018","30/06/2019","Tiemoué Bakayoko","23","AC Milan","Italy",11
"3","09/08/2018","30/06/2019","Kurt Zouma","23","Everton","England",12
"4","23/01/2018","31/05/2019","Kenedy","21","Newcastle","England",14
"5","31/08/2018","31/05/2019","Tammy Abraham","20","Aston Villa","England",15
"6","29/01/2018","30/06/2019","Abdul Rahman Baba","23","FC Schalke 04","Germany",2
"7","25/07/2018","30/06/2019","Mario Pasalic","23","Atalanta","Italy",13
"8","01/07/2018","31/05/2019","Lewis Baker","23","Leeds","England",10
"9","14/08/2018","30/06/2019","Ola Aina","21","Torino","Italy",13
"10","23/08/2018","31/05/2019","Tomas Kalas","25","Bristol City","England",13
"11","06/08/2018","30/06/2019","Matt Miazga","23","FC Nantes","France",8
"12","31/08/2018","31/05/2019","Michael Hector","26","Sheff Wed","England",13
"13","31/08/2018","30/06/2019","Charly Musonda Jr.","21","Vitesse","Netherlands",0
"14","01/07/2017","30/06/2019","Danilo Pantic","20","Partizan","Serbia",19
"15","15/08/2018","30/06/2019","Kenneth Omeruo","24","CD Leganés","Spain",9
"16","06/07/2018","30/06/2019","Eduardo","35","Vitesse","Netherlands",15
"17","17/07/2018","31/05/2019","Todd Kane","24","Hull City","England",19
"18","24/07/2018","30/06/2019","Nathan","22","Atlético-MG","Brazil",0
"19","30/08/2018","31/05/2019","Isaiah Brown","21","Leeds","England",0
"20","17/07/2018","31/05/2019","Mason Mount","19","Derby","England",19
"21","06/08/2018","31/05/2019","Fikayo Tomori","20","Derby","England",19
"22","02/07/2018","30/06/2019","Jake Clarke-Salter","20","Vitesse","Netherlands",12
"23","30/07/2018","31/05/2019","Kasey Palmer","21","Blackburn","England",11
"24","01/07/2018","31/05/2019","Trevoh Chalobah","18","Ipswich","England",20
"25","27/07/2018","31/05/2019","Victorien Angban","21","FC Metz","France",12
"26","31/08/2018","30/06/2019","Fankaty Dabo","22","Sparta R.","Netherlands",6
"27","12/07/2018","30/06/2019","Joao Rodríguez","22","CD Tenerife","Spain",10
"28","09/08/2018","31/05/2019","Jay Dasilva","20","Bristol City","England",8
"29","21/07/2018","31/05/2019","Charlie Colkett","21","Shrewsbury","England",1
"30","01/07/2018","31/05/2019","Reece James","18","Wigan","England",21
"31","30/08/2018","31/12/2018","Ike Ugbo","19","Scunthorpe Utd.","England",13
"32","31/08/2018","30/06/2019","Kylian Hazard","23","Cercle Brugge","Belgium",8
"33","10/08/2018","30/06/2019","Josimar Quintero","21","Lleida Esportiu","Spain",3
"34","14/07/2018","30/06/2019","Kyle Scott","20","Telstar","Netherlands",14
"35","01/07/2018","31/05/2019","Ruben Sammut","20","Falkirk FC","Scotland",9
"36","01/07/2018","31/05/2019","Nathan Baxter","19","Yeovil Town","England",16
"37","01/07/2018","31/05/2019","Dujon Sterling","18","Coventry","England",15
"38","26/07/2018","31/05/2019","Jacob Maddox","19","Cheltenham Town","England",18
"39","31/08/2018","02/01/2019","Bradley Collins","21","Burton Albion","England",8
