"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","27/07/2011","30/06/2014","Thibaut Courtois","19","Atlético Madrid","Spain",37
"2","02/09/2013","31/05/2014","Romelu Lukaku","20","Everton","England",31
"3","02/09/2013","31/05/2014","Victor Moses","22","Liverpool","England",19
"4","31/08/2012","30/06/2014","Thorgan Hazard","19","Zulte Waregem","Belgium",29
"5","01/02/2014","30/06/2014","Kurt Zouma","19","Saint-Étienne","France",24
"6","12/07/2013","30/06/2014","Oriol Romeu","21","Valencia","Spain",13
"7","09/08/2013","07/05/2014","Lucas Piazón","19","Vitesse","Netherlands",29
"8","13/08/2013","30/06/2014","Wallace Oliveira","19","Inter","Italy",3
"9","01/09/2013","30/06/2014","Christian Atsu","21","Vitesse","Netherlands",26
"10","17/01/2014","31/05/2014","Ryan Bertrand","24","Aston Villa","England",16
"11","01/07/2013","30/06/2014","Marko Marin","24","Sevilla FC","Spain",18
"12","20/09/2013","02/01/2014","Josh McEachran","20","Watford","England",7
"13","31/08/2012","02/01/2014","Gaël Kakuta","21","Vitesse","Netherlands",12
"14","19/09/2013","15/01/2014","Nathaniel Chalobah","18","Nottm Forest","England",12
"15","16/01/2014","31/05/2014","Nathaniel Chalobah","19","Middlesbrough","England",19
"16","23/01/2014","31/05/2014","Josh McEachran","20","Wigan","England",8
"17","17/01/2012","30/06/2014","Patrick van Aanholt","21","Vitesse","Netherlands",27
"18","31/01/2014","30/06/2014","Gaël Kakuta","22","Lazio","Italy",1
"19","02/01/2014","30/06/2015","Bertrand Traoré","18","Vitesse","Netherlands",13
"20","07/08/2013","31/01/2014","Cristian Cuevas","18","Vitesse","Netherlands",0
"21","02/09/2013","30/06/2014","Ulises Dávila","22","Córdoba CF","Spain",33
"22","06/01/2014","31/05/2014","Patrick Bamford","20","Derby","England",21
"23","07/02/2014","30/06/2014","Cristian Cuevas","18","FC Eindhoven","Netherlands",13
"24","15/03/2013","31/05/2014","Todd Kane","19","Blackburn","England",27
"25","19/08/2013","30/06/2014","Stipe Perica","18","NAC Breda","Netherlands",25
"26","07/01/2014","31/05/2014","Kenneth Omeruo","20","Middlesbrough","England",14
"27","08/07/2013","31/12/2013","Matej Delac","20","Vojvodina","Serbia",10
"28","01/01/2014","30/06/2014","Matej Delac","21","FK Sarajevo","Bosnia-Herzegovina",7
"29","01/07/2013","05/01/2014","Patrick Bamford","19","MK Dons","England",23
"30","16/07/2013","31/05/2014","Milan Lalkovic","20","Walsall","England",38
"31","02/09/2013","02/01/2014","Sam Hutchinson","24","Vitesse","Netherlands",1
"32","14/02/2014","31/05/2014","Sam Hutchinson","24","Sheff Wed","England",10
"33","01/01/2013","01/08/2013","Anjur Osmanovic","18","Lärje-Angereds","Sweden",0
"34","02/02/2015","30/06/2015","Mohamed Salah","22","Fiorentina","Italy",16
"35","05/07/2014","30/06/2015","Thorgan Hazard","21","Bor. M'gladbach","Germany",28
"36","16/08/2014","31/05/2015","Victor Moses","23","Stoke City","England",19
"37","31/08/2014","30/06/2015","Marco van Ginkel","21","AC Milan","Italy",17
"38","31/08/2014","04/01/2015","Fernando Torres","30","AC Milan","Italy",10
"39","30/07/2014","01/02/2015","Ryan Bertrand","24","Southampton","England",34
"40","24/07/2014","30/06/2015","Lucas Piazón","20","E. Frankfurt","Germany",22
"41","13/08/2014","30/06/2015","Christian Atsu","22","Everton","England",5
"42","01/09/2014","02/01/2015","Nathaniel Chalobah","19","Burnley","England",4
"43","22/01/2015","21/05/2015","Nathaniel Chalobah","20","Reading","England",15
"44","01/07/2014","04/01/2015","Tomas Kalas","21","1. FC Köln","Germany",0
"45","31/07/2014","30/06/2015","Gaël Kakuta","23","Rayo Vallecano","Spain",35
"46","04/08/2014","30/06/2015","Oriol Romeu","22","VfB Stuttgart","Germany",27
"47","18/08/2014","19/01/2015","Marko Marin","25","Fiorentina","Italy",0
"48","09/01/2015","31/05/2016","Tomas Kalas","21","Middlesbrough","England",17
"49","01/07/2014","30/06/2015","Wallace Oliveira","20","Vitesse","Netherlands",18
"50","21/07/2014","30/06/2015","Mario Pasalic","19","Elche CF","Spain",31
"51","18/08/2014","30/06/2015","Josh McEachran","21","Vitesse","Netherlands",15
"52","02/01/2014","30/06/2015","Bertrand Traoré","18","Vitesse","Netherlands",29
"53","29/08/2014","31/05/2015","Patrick Bamford","20","Middlesbrough","England",38
"54","20/01/2015","30/06/2015","Marko Marin","25","RSC Anderlecht","Belgium",6
"55","04/07/2014","30/06/2015","Cristian Cuevas","19","U. de Chile","Chile",4
"56","01/09/2014","20/01/2015","Ulises Dávila","23","CD Tenerife","Spain",10
"57","25/03/2015","22/04/2015","Nathan Aké","20","Reading","England",5
"58","22/01/2015","30/06/2015","Ulises Dávila","23","Vitória Setúbal","Portugal",11
"59","06/08/2014","31/05/2015","Kenneth Omeruo","20","Middlesbrough","England",19
"60","15/08/2014","28/01/2015","Stipe Perica","19","NAC Breda","Netherlands",10
"61","15/11/2014","07/01/2015","Todd Kane","21","Bristol City","England",5
"62","31/01/2015","30/06/2016","Stipe Perica","19","Udinese Calcio","Italy",9
"63","01/09/2014","26/02/2015","Matej Delac","22","AC Arles","France",11
"64","27/02/2015","30/06/2015","Matej Delac","22","FK Sarajevo","Bosnia-Herzegovina",14
"65","08/01/2015","25/05/2015","Todd Kane","21","Nottm Forest","England",8
"66","25/02/2015","21/05/2015","Lewis Baker","19","MK Dons","England",12
"67","01/09/2014","05/01/2015","Jamal Blackman","20","Middlesbrough","England",0
"68","08/01/2015","10/02/2015","Lewis Baker","19","Sheff Wed","England",4
"69","25/08/2015","30/06/2016","Juan Cuadrado","27","Juventus","Italy",28
"70","06/08/2015","30/06/2016","Mohamed Salah","23","AS Roma","Italy",34
"71","10/07/2015","30/06/2017","Andreas Christensen","19","Bor. M'gladbach","Germany",31
"72","10/07/2015","31/01/2016","Marco van Ginkel","22","Stoke City","England",17
"73","01/09/2015","31/05/2016","Victor Moses","24","West Ham","England",21
"74","01/02/2016","30/06/2016","Marco van Ginkel","23","PSV Eindhoven","Netherlands",13
"75","01/07/2015","30/06/2017","Lewis Baker","20","Vitesse","Netherlands",31
"76","01/07/2015","04/01/2016","Christian Atsu","23","Bournemouth","England",0
"77","21/07/2015","04/01/2016","Patrick Bamford","21","Crystal Palace","England",6
"78","21/01/2016","30/06/2016","Papy Djilobodji","27","Werder Bremen","Germany",14
"79","25/01/2016","30/06/2016","Christian Atsu","24","Málaga CF","Spain",12
"80","30/01/2016","31/05/2016","Patrick Bamford","22","Norwich","England",7
"81","03/07/2015","30/06/2016","Mario Pasalic","20","Monaco","France",16
"82","31/08/2015","30/06/2016","Nathaniel Chalobah","20","SSC Napoli","Italy",5
"83","09/01/2015","31/05/2016","Tomas Kalas","21","Middlesbrough","England",26
"84","25/08/2015","30/06/2016","Marko Marin","26","Trabzonspor","Turkey",24
"85","31/08/2015","28/04/2016","Lucas Piazón","21","Reading","England",23
"86","02/09/2015","28/04/2016","Michael Hector","23","Reading","England",30
"87","22/07/2015","06/01/2016","Wallace Oliveira","21","Carpi","Italy",6
"88","14/08/2015","31/05/2016","Nathan Aké","20","Watford","England",24
"89","10/08/2015","30/06/2016","Cristian Cuevas","20","Sint-Truiden","Belgium",22
"90","07/01/2016","30/06/2017","Wallace Oliveira","21","Grêmio","Brazil",8
"91","10/07/2015","30/06/2017","Nathan","19","Vitesse","Netherlands",18
"92","24/07/2015","30/06/2016","Danilo Pantic","18","Vitesse","Netherlands",6
"93","22/07/2015","30/06/2016","Kenneth Omeruo","21","Kasimpasa","Turkey",25
"94","31/01/2015","30/06/2016","Stipe Perica","19","Udinese Calcio","Italy",11
"95","03/08/2015","30/06/2016","Matej Delac","22","FK Sarajevo","Bosnia-Herzegovina",12
"96","03/08/2015","31/12/2015","Ulises Dávila","24","Vitória Setúbal","Portugal",5
"97","06/08/2015","30/06/2016","Todd Kane","21","NEC Nijmegen","Netherlands",31
